,datum,RemediMax,VitaFlux,SynaptraZol,NeuroRevive,Immunoxen,RemediSol,Vitalisol,RestoraZen,Year,Month,Hour,Weekday Name
0,2017-01-01,0.0,3.67,3.4,32.4,7.0,0.0,0.0,2.0,2017,1,248,Sunday
1,2017-01-02,8.0,4.0,4.4,50.6,16.0,0.0,20.0,4.0,2017,1,276,Monday
2,2017-01-03,2.0,1.0,6.5,61.85,10.0,0.0,9.0,1.0,2017,1,276,Tuesday
3,2017-01-04,4.0,3.0,7.0,41.1,8.0,0.0,3.0,0.0,2017,1,276,Wednesday
4,2017-01-05,5.0,1.0,4.5,21.7,16.0,2.0,6.0,2.0,2017,1,276,Thursday
5,2017-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,1,276,Friday
6,2017-01-07,5.33,3.0,10.5,26.4,19.0,1.0,10.0,0.0,2017,1,276,Saturday
7,2017-01-08,7.0,1.68,8.0,25.0,16.0,0.0,3.0,2.0,2017,1,276,Sunday
8,2017-01-09,5.0,2.0,2.0,53.3,15.0,2.0,0.0,2.0,2017,1,276,Monday
9,2017-01-10,5.0,4.34,10.4,52.3,14.0,0.0,1.0,0.2,2017,1,276,Tuesday
10,2017-01-11,2.0,0.66,2.5,12.0,8.0,0.0,1.0,1.0,2017,1,276,Wednesday
11,2017-01-12,7.34,7.66,6.2,52.0,9.0,0.0,7.0,1.0,2017,1,276,Thursday
12,2017-01-13,6.0,1.33,12.3,33.7,6.0,1.0,0.0,2.0,2017,1,276,Friday
13,2017-01-14,4.0,2.34,5.0,26.7,12.0,2.0,3.0,3.0,2017,1,276,Saturday
14,2017-01-15,6.0,2.0,4.3,28.3,19.0,1.0,5.0,0.0,2017,1,276,Sunday
15,2017-01-16,2.0,3.68,8.3,20.4,15.0,0.0,6.0,3.0,2017,1,276,Monday
16,2017-01-17,1.0,5.33,5.8,43.2,15.0,4.0,7.0,2.0,2017,1,276,Tuesday
17,2017-01-18,4.33,4.0,4.0,14.1,4.0,0.0,1.0,1.0,2017,1,276,Wednesday
18,2017-01-19,6.0,3.34,3.3,11.9,18.0,2.0,12.0,3.0,2017,1,276,Thursday
19,2017-01-20,2.0,3.34,4.0,42.0,15.0,2.0,0.0,1.0,2017,1,276,Friday
20,2017-01-21,7.0,3.0,7.0,18.1,10.0,0.0,5.0,2.0,2017,1,276,Saturday
21,2017-01-22,4.0,4.67,5.2,26.2,2.0,3.0,1.0,3.0,2017,1,276,Sunday
22,2017-01-23,4.67,7.34,7.0,19.6,13.0,1.0,0.0,0.0,2017,1,276,Monday
23,2017-01-24,6.0,9.0,5.0,37.8,18.0,0.0,5.0,1.0,2017,1,276,Tuesday
24,2017-01-25,4.33,1.68,0.0,24.0,4.0,0.0,0.0,0.0,2017,1,276,Wednesday
25,2017-01-26,4.34,4.67,1.2,23.6,17.0,2.0,1.0,3.0,2017,1,276,Thursday
26,2017-01-27,6.0,3.34,2.8,13.38,22.0,5.0,1.0,5.0,2017,1,276,Friday
27,2017-01-28,5.33,4.0,2.0,14.0,10.0,1.0,1.0,2.0,2017,1,276,Saturday
28,2017-01-29,3.02,1.34,2.4,25.5,7.0,1.0,3.0,2.0,2017,1,276,Sunday
