,datum,RemediMax,VitaFlux,SynaptraZol,NeuroRevive,Immunoxen,RemediSol,Vitalisol,RestoraZen
0,2017-01-30,127.69,99.09000000000005,152.09999999999997,878.0300000000002,354.0,50.0,112.0,48.2
1,2017-02-27,133.32,126.0500000000001,176.99999999999997,1001.9,347.0,31.0,122.0,36.2
2,2017-03-30,137.44000000000003,92.95000000000007,147.655,779.275,232.0,20.0,112.0,85.4
3,2017-04-29,113.10000000000004,89.47500000000008,130.89999999999998,698.5,209.0,18.0,97.0,73.7
4,2017-05-30,101.79000000000003,119.93300000000008,132.1,628.7800000000001,270.0,23.0,107.0,123.7
5,2017-06-29,112.07000000000002,94.71000000000006,122.9,548.225,323.0,23.0,57.0,109.3
6,2017-07-30,117.06000000000002,95.01000000000012,129.3,491.9,348.0,21.0,61.0,69.1
7,2017-08-30,134.79000000000005,99.7800000000001,123.8,583.8499999999999,420.0,29.0,37.0,70.80000000000001
8,2017-09-29,108.78000000000004,109.0940000000001,122.09999999999998,887.8199999999999,399.0,14.0,115.0,58.8
9,2017-10-30,154.75000000000003,185.2410000000001,191.6,1856.8149999999996,472.0,30.0,182.0,74.5
10,2017-11-29,138.08000000000004,100.86000000000004,142.7,723.8,489.0,19.0,112.0,45.2
11,2017-12-30,131.90000000000003,121.40100000000004,111.124,1015.66,492.0,25.0,163.0,33.4
12,2018-01-30,135.91000000000005,130.34900000000005,141.0,1044.2400000000002,463.0,24.0,177.25,42.0
13,2018-02-27,115.71,123.73999999999997,131.83,953.252,243.0,9.0,208.0,47.0
14,2018-03-30,156.04000000000005,129.38599999999997,133.8,1084.85,208.0,13.0,195.0,54.0
15,2018-04-29,154.5,101.115,122.1,940.17,192.0,5.0,97.0,112.0
16,2018-05-30,160.02,119.11700000000006,136.04,765.9000000000001,194.0,10.0,100.0,159.5
17,2018-06-29,151.87000000000003,113.69,145.46,746.788,217.0,12.0,193.0,125.79999999999998
18,2018-07-30,175.61000000000004,113.81000000000002,125.5,708.8280000000001,203.0,6.0,60.0,130.3
19,2018-08-30,181.69000000000003,144.51900000000003,133.4,790.788,265.5,15.0,45.0,83.7
20,2018-09-29,166.22000000000008,134.12200000000004,110.4,852.125,243.5,11.0,91.0,71.0
21,2018-10-30,195.81000000000012,127.23099999999998,146.20000000000002,1574.3350000000007,222.0,8.0,184.0,72.0
22,2018-11-29,152.78000000000006,128.233,145.90000000000003,1277.725,228.0,18.0,195.0,44.0
23,2018-12-30,159.46000000000004,131.29100000000005,136.99999999999997,1258.3490000000002,286.0,28.0,231.0,41.73
24,2019-01-30,171.65000000000006,128.402,172.49999999999997,1476.3240000000003,248.0,24.0,174.0,56.5
25,2019-02-28,173.81000000000003,137.528,134.20000000000002,1224.8620000000003,239.0,20.0,245.0,58.0
26,2019-03-31,156.64000000000004,180.5890000000001,148.4,1150.7000000000005,250.0,13.0,253.0,97.84
27,2019-04-30,166.6100000000001,146.52600000000007,147.7,998.3370000000004,318.0,18.0,216.0,162.39999999999998
28,2019-05-31,167.36000000000007,120.86099999999996,130.54999999999995,997.1500000000004,275.0,18.0,131.0,137.10000000000002
29,2019-06-30,169.67000000000002,114.961,117.75,760.05,311.0,20.0,127.0,134.8
30,2019-07-31,203.97000000000017,141.01900000000003,137.89999999999998,652.3619999999999,240.0,8.0,109.0,116.83
31,2019-08-31,211.13000000000017,114.37499999999996,132.7,753.0500000000002,275.5,12.0,116.0,85.3
32,2019-09-30,172.96000000000004,126.21799999999996,116.7,1118.699,307.0,18.0,121.0,69.3
33,2019-10-31,186.7600000000001,142.0560000000001,160.15,1617.275000000001,312.0,11.0,220.0,60.9
34,2019-11-30,175.18000000000012,116.84999999999997,133.85000000000002,1062.6860000000004,246.0,27.0,150.0,51.2
35,2019-12-31,169.32000000000002,135.05600000000004,132.39999999999998,1624.3350000000005,257.0,18.0,275.0,34.9
36,2020-01-31,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
37,2020-02-28,139.69000000000003,103.517,97.0,526.3500000000001,144.0,7.0,117.0,30.6
38,2020-03-30,162.85000000000002,111.055,107.35,612.5000000000002,165.0,9.0,139.0,100.1
39,2020-04-29,155.61000000000004,101.21500000000002,100.5,540.1999999999998,132.0,9.0,209.0,122.4
40,2020-05-30,143.66,118.12500000000006,98.95,547.9399999999998,148.0,23.0,128.0,161.81
41,2020-06-29,122.33,103.006,119.6,496.1,163.0,8.0,163.0,151.89999999999998
42,2020-07-30,159.67,116.20600000000005,75.19999999999999,479.35,219.0,15.0,115.0,81.1
43,2020-08-30,170.14999999999998,112.47,84.4,549.3,239.0,12.0,75.0,60.1
44,2020-09-29,138.33,118.71100000000004,88.14999999999998,863.7500000000002,223.0,23.0,139.0,66.9
45,2020-10-30,137.64,88.737,100.4,1184.3500000000004,226.0,15.0,247.0,51.0
46,2020-11-29,163.85000000000005,119.78000000000004,104.45,867.8990000000001,192.0,15.0,196.0,46.6
47,2020-12-30,160.01000000000002,121.66300000000004,115.15,1007.18,226.0,6.0,204.0,47.1
48,2021-01-30,132.28,109.44599999999998,101.15,1134.325,229.0,11.0,219.0,49.5
49,2021-02-27,128.36,132.80400000000014,114.65000000000002,1255.3740000000007,268.0,12.0,253.0,39.06
50,2021-03-30,146.16,111.764,122.3,999.1230000000004,381.0,42.0,269.0,85.5
51,2021-04-29,170.02000000000007,107.723,84.60000000000001,836.0369999999999,289.0,21.0,229.0,197.1
52,2021-05-30,160.52000000000004,103.522,89.39999999999999,644.6480000000004,259.0,13.0,192.0,213.04
53,2021-06-29,141.18,114.22600000000004,86.80000000000001,584.343,248.0,18.0,101.0,120.8
54,2021-07-30,150.18,132.54900000000006,87.2,679.3499999999999,283.0,19.0,90.0,122.2
55,2021-08-30,140.00000000000003,114.71900000000004,88.25,733.838,253.0,20.0,159.0,103.1
56,2021-09-29,153.52,114.99200000000008,86.5,1058.2620000000002,263.0,12.0,205.0,88.10000000000001
57,2021-10-30,144.71000000000004,129.4000000000001,76.05000000000001,1129.275,287.0,25.0,353.0,76.9
58,2021-11-29,172.29000000000005,105.48700000000004,102.15,995.15,252.2,22.0,311.0,48.400000000000006
59,2021-12-30,147.71000000000004,113.02400000000011,84.75,1213.95,254.0,27.0,384.0,53.1
