date,forecast,variable,actual,model,granularity
30-01-2022,137.6567337,RemediMax,179.7,prophet,M
27-02-2022,145.6675569,RemediMax,133.73,prophet,M
30-03-2022,148.8357083,RemediMax,154.52,prophet,M
29-04-2022,147.8893629,RemediMax,161.39,prophet,M
30-05-2022,145.3148554,RemediMax,168.04,prophet,M
29-06-2022,142.2221149,RemediMax,151.54,prophet,M
30-07-2022,148.331406,RemediMax,181,prophet,M
30-08-2022,149.673751,RemediMax,181.91,prophet,M
29-09-2022,143.3638135,RemediMax,161.07,prophet,M
30-10-2022,148.3980388,RemediMax,44.37,prophet,M
30-01-2022,108.0631271,VitaFlux,222.351,prophet,M
27-02-2022,117.8931792,VitaFlux,142.155,prophet,M
30-03-2022,117.6708019,VitaFlux,113.118,prophet,M
29-04-2022,112.7989989,VitaFlux,100.165,prophet,M
30-05-2022,114.7326724,VitaFlux,97.258,prophet,M
29-06-2022,112.1871809,VitaFlux,101.627,prophet,M
30-07-2022,115.2705081,VitaFlux,103.541,prophet,M
30-08-2022,114.3176913,VitaFlux,88.269,prophet,M
29-09-2022,115.2510741,VitaFlux,111.437,prophet,M
30-10-2022,119.086832,VitaFlux,37.3,prophet,M
30-01-2022,81.02213867,SynaptraZol,99.7,prophet,M
27-02-2022,86.59285129,SynaptraZol,110.2,prophet,M
30-03-2022,86.16444072,SynaptraZol,83.35,prophet,M
29-04-2022,80.90129244,SynaptraZol,88.1,prophet,M
30-05-2022,80.43044482,SynaptraZol,104.1,prophet,M
29-06-2022,80.10977312,SynaptraZol,103.2,prophet,M
30-07-2022,76.92932882,SynaptraZol,92.8,prophet,M
30-08-2022,76.48792789,SynaptraZol,84.2,prophet,M
29-09-2022,73.12648907,SynaptraZol,93.5,prophet,M
30-10-2022,81.37545913,SynaptraZol,20.65,prophet,M
30-01-2022,858.4784351,NeuroRevive,1660.612,prophet,M
27-02-2022,942.1447898,NeuroRevive,1001.212,prophet,M
30-03-2022,878.4000049,NeuroRevive,941.05,prophet,M
29-04-2022,758.5356298,NeuroRevive,647.65,prophet,M
30-05-2022,672.0387181,NeuroRevive,703.562,prophet,M
29-06-2022,584.6223348,NeuroRevive,610,prophet,M
30-07-2022,562.3863443,NeuroRevive,649.8,prophet,M
30-08-2022,642.4170206,NeuroRevive,518.1,prophet,M
29-09-2022,907.0676054,NeuroRevive,984.48,prophet,M
30-10-2022,1407.481634,NeuroRevive,295.15,prophet,M
30-01-2022,281.7529989,Immunoxen,295.2,prophet,M
27-02-2022,285.7888388,Immunoxen,249.4,prophet,M
30-03-2022,291.3555125,Immunoxen,301.4,prophet,M
29-04-2022,291.8493654,Immunoxen,299.4,prophet,M
30-05-2022,295.9666426,Immunoxen,265.8,prophet,M
29-06-2022,304.1660108,Immunoxen,193,prophet,M
30-07-2022,308.3136598,Immunoxen,250.6,prophet,M
30-08-2022,318.1712657,Immunoxen,237,prophet,M
29-09-2022,320.3417793,Immunoxen,227.8,prophet,M
30-10-2022,327.7722554,Immunoxen,86,prophet,M
