date,forecast,variable,actual,model,granularity
2022-01-30,137.6567337,RemediMax,179.7,prophet,M
2022-02-27,145.6675569,RemediMax,133.73,prophet,M
2022-03-30,148.8357083,RemediMax,154.52,prophet,M
2022-04-29,147.8893629,RemediMax,161.39,prophet,M
2022-01-30,108.0631271,VitaFlux,222.351,prophet,M
2022-02-27,117.8931792,VitaFlux,142.155,prophet,M
2022-03-30,117.6708019,VitaFlux,113.118,prophet,M
2022-04-29,112.7989989,VitaFlux,100.165,prophet,M
2022-01-30,81.02213867,SynaptraZol,99.7,prophet,M
2022-02-27,86.59285129,SynaptraZol,110.2,prophet,M
2022-03-30,86.16444072,SynaptraZol,83.35,prophet,M
2022-04-29,80.90129244,SynaptraZol,88.1,prophet,M
2022-01-30,858.4784351,NeuroRevive,1660.612,prophet,M
2022-02-27,942.1447898,NeuroRevive,1001.212,prophet,M
2022-03-30,878.4000049,NeuroRevive,941.05,prophet,M
2022-04-29,758.5356298,NeuroRevive,647.65,prophet,M
2022-01-30,281.7529989,Immunoxen,295.2,prophet,M
2022-02-27,285.7888388,Immunoxen,249.4,prophet,M
2022-03-30,291.3555125,Immunoxen,301.4,prophet,M
2022-04-29,291.8493654,Immunoxen,299.4,prophet,M
2022-01-30,21.68616092,RemediSol,23.0,prophet,M
2022-02-27,20.7725141,RemediSol,12.0,prophet,M
2022-03-30,22.14911675,RemediSol,19.0,prophet,M
2022-04-29,21.49151333,RemediSol,22.0,prophet,M
2022-01-30,260.7094338,Vitalisol,386.0,prophet,M
2022-02-27,315.9023709,Vitalisol,226.0,prophet,M
2022-03-30,323.3133071,Vitalisol,257.0,prophet,M
2022-04-29,301.6032192,Vitalisol,259.0,prophet,M
2022-01-30,57.32229162,RestoraZen,41.3,prophet,M
2022-02-27,58.98040092,RestoraZen,69.5,prophet,M
2022-03-30,100.5532152,RestoraZen,169.5,prophet,M
2022-04-29,148.865711,RestoraZen,179.1,prophet,M
2022-01-30,143.0,RemediMax,179.7,DeepAR,M
2022-02-27,168.0,RemediMax,133.73,DeepAR,M
2022-03-30,162.0,RemediMax,154.52,DeepAR,M
2022-04-29,136.0,RemediMax,161.39,DeepAR,M
2022-01-30,108.0,VitaFlux,222.351,DeepAR,M
2022-02-27,107.0,VitaFlux,142.155,DeepAR,M
2022-03-30,101.0,VitaFlux,113.118,DeepAR,M
2022-04-29,112.0,VitaFlux,100.165,DeepAR,M
2022-01-30,119.0,SynaptraZol,99.7,DeepAR,M
2022-02-27,83.0,SynaptraZol,110.2,DeepAR,M
2022-03-30,90.0,SynaptraZol,83.35,DeepAR,M
2022-04-29,82.0,SynaptraZol,88.1,DeepAR,M
2022-01-30,1023.0,NeuroRevive,1660.612,DeepAR,M
2022-02-27,853.0,NeuroRevive,1001.212,DeepAR,M
2022-03-30,666.0,NeuroRevive,941.05,DeepAR,M
2022-04-29,614.0,NeuroRevive,647.65,DeepAR,M
2022-01-30,383.0,Immunoxen,295.2,DeepAR,M
2022-02-27,285.0,Immunoxen,249.4,DeepAR,M
2022-03-30,257.0,Immunoxen,301.4,DeepAR,M
2022-04-29,253.0,Immunoxen,299.4,DeepAR,M
